# timestamps [seconds],pts
-549118.414838,766737
-549118.402983,767514
-549118.393449,768139
-549118.380424,768993
-549118.371678,769566
-549118.361389,770240
-549118.352181,770844
-549118.341994,771511
-549118.332665,772123
-549118.324833,772636
-549118.315338,773258
-549118.307460,773774
-549118.297314,774439
-549118.288709,775003
-549118.278924,775644
-549118.273851,775977
-549118.265956,776494
-549118.256740,777098
-549118.248920,777611
-549118.243428,777971
-549118.231452,778756
-549118.223224,779295
-549118.215458,779804
-549118.207469,780327
-549118.199372,780858
-549118.191455,781377
-549118.183303,781911
-549118.173672,782542
-549118.165904,783051
-549118.156428,783672
-549118.147451,784261
-549118.137973,784882
-549118.129367,785446
-549118.119850,786069
-549118.112351,786561
-549118.106322,786956
-549118.097215,787553
-549118.089053,788088
-549118.080198,788668
-549118.072953,789143
-549118.062036,789858
-549118.053115,790443
-549118.045582,790937
-549118.036583,791526
-549118.029448,791994
-549118.023478,792385
-549118.014446,792977
-549118.004483,793630
-549117.995877,794194
-549117.987755,794726
-549117.979440,795271
-549117.969579,795917
-549117.961189,796467
-549117.950424,797173
-549117.941992,797725
-549117.936938,798057
-549117.930360,798488
-549117.923459,798940
-549117.915433,799466
-549117.907440,799990
-549117.895475,800774
-549117.885845,801405
-549117.879477,801822
-549117.871451,802348
-549117.863482,802870
-549117.855482,803395
-549117.847419,803923
-549117.839496,804442
-549117.831445,804970
-549117.821286,805636
-549117.811466,806279
-549117.803421,806807
-549117.795438,807330
-549117.787415,807856
-549117.778183,808461
-549117.770617,808956
-549117.763448,809426
-549117.754058,810042
-549117.746176,810558
-549117.739429,811000
-549117.727422,811787
-549117.719489,812307
-549117.711291,812844
