timestamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_pupil_validity,right_pupil_validity
1698048215209,"(nan, nan)","(nan, nan)",0,0
1698048215225,"(0.5417036058898446, 0.38396956205903654)","(nan, nan)",3,0
1698048215240,"(0.5865094014434236, 0.34609462384913786)","(nan, nan)",3,0
1698048215258,"(0.5503693238261187, 0.22542785934677054)","(nan, nan)",3,0
1698048215276,"(0.5849254543581832, 0.24929975462904233)","(nan, nan)",3,0
1698048215291,"(0.5500169449327843, 0.2183112249325449)","(nan, nan)",3,0
1698048215306,"(0.5660320170123712, 0.32483576167984307)","(nan, nan)",3,0
1698048215323,"(0.5657729856703568, 0.32798886895695256)","(nan, nan)",3,0
1698048215340,"(0.5599416704797108, 0.305886873863995)","(nan, nan)",3,0
1698048215355,"(0.5635254395910871, 0.3075715966422803)","(nan, nan)",3,0
1698048215373,"(0.5628997774471317, 0.31410927155255597)","(nan, nan)",3,0
1698048215388,"(0.5655526103319084, 0.32620600698769925)","(nan, nan)",3,0
1698048215402,"(0.568499295605704, 0.33803640870647317)","(nan, nan)",3,0
1698048215419,"(0.5639245774751095, 0.3358171668126009)","(nan, nan)",3,0
1698048215434,"(0.5626600025425031, 0.3311037081218606)","(nan, nan)",3,0
1698048215452,"(0.561592576937271, 0.34776391593701944)","(nan, nan)",3,0
1698048215470,"(0.562941254333788, 0.36146760347081275)","(nan, nan)",3,0
1698048215485,"(0.5644265930020264, 0.3807226361842721)","(nan, nan)",3,0
1698048215500,"(0.5672263082571914, 0.3771674051152399)","(nan, nan)",3,0
1698048215518,"(0.5682084816206991, 0.3703059943202928)","(nan, nan)",3,0
1698048215533,"(0.5707701564678944, 0.3767162117278333)","(nan, nan)",3,0
1698048215548,"(0.5707917477735945, 0.35348685039397526)","(nan, nan)",3,0
1698048215565,"(0.5937600911132858, 0.43320519177181793)","(nan, nan)",3,0
1698048215582,"(0.5540018136495395, 0.2663324593105484)","(nan, nan)",3,0
1698048215597,"(0.5829541294556702, 0.393604793760968)","(nan, nan)",3,0
1698048215615,"(0.5551078600851971, 0.2935768862874715)","(nan, nan)",3,0
1698048215630,"(0.5998764901904177, 0.2865954247211829)","(nan, nan)",3,0
1698048215648,"(0.5518545346672942, 0.300562668447073)","(nan, nan)",3,0
1698048215665,"(0.5974839136214664, 0.27386387068282786)","(nan, nan)",3,0
1698048215680,"(0.5481967600345826, 0.2732117697063639)","(nan, nan)",3,0
1698048215695,"(0.5648803937825709, 0.322385059429914)","(nan, nan)",3,0
1698048215713,"(0.5386386949471819, 0.24289601811147155)","(nan, nan)",3,0
1698048215728,"(0.5488575883748893, 0.24852389951554005)","(nan, nan)",3,0
1698048215743,"(0.5355890957477976, 0.22333298881755279)","(nan, nan)",3,0
1698048215761,"(0.533803419721036, 0.19335948993581625)","(nan, nan)",3,0
1698048215775,"(0.5316522397775801, 0.24504643912614302)","(nan, nan)",3,0
1698048215791,"(0.5589567442979508, 0.30691980427962434)","(nan, nan)",3,0
1698048215809,"(0.5711424009289706, 0.3080801921979891)","(nan, nan)",3,0
1698048215826,"(0.5715671766298669, 0.25832701712906464)","(nan, nan)",3,0
1698048215840,"(0.5636826969608789, 0.2763204365951104)","(nan, nan)",3,0
1698048215858,"(0.5697485973867263, 0.30032318413200626)","(nan, nan)",3,0
1698048215873,"(0.5307628817560106, 0.21746377141556897)","(nan, nan)",3,0
1698048215888,"(0.5183623443816181, 0.2770111142975838)","(nan, nan)",3,0
1698048215906,"(0.5400001940874104, 0.23611638997566453)","(nan, nan)",3,0
1698048215923,"(0.5600875519605405, 0.1859962730889381)","(nan, nan)",3,0
1698048215937,"(0.5380253829846857, 0.14728128809345736)","(nan, nan)",3,0
1698048215955,"(0.506398087918597, 0.09837093733438787)","(nan, nan)",3,0
1698048215970,"(0.5559164758415902, 0.1631150281305894)","(nan, nan)",3,0
1698048215988,"(0.5564557834751629, 0.2794312637805134)","(nan, nan)",3,0
1698048216003,"(0.5593051723962644, 0.21924941090909497)","(nan, nan)",3,0
1698048216021,"(0.5575504995375181, 0.22091746854174416)","(nan, nan)",3,0
1698048216036,"(0.5580199708585312, 0.24546399360846938)","(nan, nan)",3,0
1698048216051,"(0.5636040171948097, 0.2649983218182371)","(nan, nan)",3,0
1698048216068,"(0.5955406715224778, 0.2753918176466106)","(nan, nan)",3,0
1698048216086,"(0.599766262069628, 0.21922132705256012)","(nan, nan)",3,0
1698048216098,"(nan, nan)","(nan, nan)",0,0
1698048216119,"(0.5926301923773418, 0.26797922259044044)","(nan, nan)",3,0
1698048216133,"(nan, nan)","(nan, nan)",0,0
1698048216151,"(0.592871384111594, 0.320086195173558)","(nan, nan)",3,0
1698048216166,"(0.5520237891858365, 0.43228860876183306)","(nan, nan)",3,0
1698048216183,"(0.57842717491366, 0.4232344968605082)","(nan, nan)",3,0
1698048216195,"(nan, nan)","(nan, nan)",0,0
1698048216213,"(0.5920040922742276, 0.26830851352365714)","(nan, nan)",3,0
1698048216231,"(0.5962510195011143, 0.2642304906637447)","(nan, nan)",3,0
1698048216246,"(0.5919738190783191, 0.29217361930215124)","(nan, nan)",3,0
1698048216260,"(nan, nan)","(nan, nan)",0,0
1698048216280,"(0.59260729571625, 0.2844789512253996)","(nan, nan)",3,0
1698048216295,"(nan, nan)","(nan, nan)",0,0
1698048216313,"(0.5918449876513061, 0.2866201138258289)","(nan, nan)",3,0
1698048216325,"(nan, nan)","(nan, nan)",0,0
1698048216346,"(0.592221879622072, 0.26960716042803967)","(nan, nan)",3,0
1698048216359,"(nan, nan)","(nan, nan)",0,0
1698048216376,"(0.5933006819057199, 0.24744683732535572)","(nan, nan)",3,0
1698048216394,"(0.591408980562421, 0.22220284505237942)","(nan, nan)",3,0
1698048216409,"(0.5919913567072893, 0.23174240647380756)","(nan, nan)",3,0
1698048216422,"(nan, nan)","(nan, nan)",0,0
1698048216440,"(0.5874509261706018, 0.30649885504540914)","(nan, nan)",3,0
1698048216458,"(0.5411948318132038, 0.4335798489348218)","(nan, nan)",3,0
1698048216476,"(0.5701925530505448, 0.4604264727131352)","(nan, nan)",3,0
1698048216490,"(0.5654950483689448, 0.43687244965318145)","(nan, nan)",3,0
1698048216507,"(0.579949730593138, 0.19635551278461516)","(nan, nan)",3,0
